id,customer_id,product_id,order_creation_time,sale_quantity,sale_price_per_item,sale_price_before_discount,discount_platform,discount_seller,discount_total,sales_price_after_discount,payment_method_id,order_status
ef0bcfdd-95b0-886d-74da-6f08a12bd813,980,34,2023-01-01 01:05:39,1,54.95,54.95,0.00,2.20,2.20,52.75,1,1
27508821-8b6c-366d-9f83-67520ecf588f,79,98,2023-01-01 01:06:17,1,161.95,161.95,0.00,0.00,0.00,161.95,2,1
c8db8f9c-77c6-7122-272b-cb5aa585d3fc,53,13,2023-01-01 01:35:31,2,86.99,173.98,0.00,0.00,0.00,173.98,4,1
037af55e-dca0-6617-0b95-fe6e99951994,416,14,2023-01-01 03:10:36,2,10.00,20.00,0.80,1.40,2.20,17.80,5,3
1bea126f-8c5f-9fd6-a1e1-f06d5083e414,204,49,2023-01-01 03:52:15,1,150.95,150.95,0.00,1.51,1.51,149.44,7,1
748bcab4-191b-9fc3-c0e9-be6ccf88c930,167,13,2023-01-01 04:35:47,1,86.99,86.99,0.00,0.00,0.00,86.99,2,3
6800955c-416d-e747-7ec1-6bae183fbde9,779,27,2023-01-01 04:58:29,1,53.99,53.99,2.70,0.00,2.70,51.29,1,3
63240177-b865-3db7-9707-f599cb6e17d4,496,12,2023-01-01 05:35:32,2,136.95,273.90,0.00,0.00,0.00,273.90,7,1
ff106968-3f37-4b2e-9614-c12041ae6ba9,795,34,2023-01-01 06:46:11,1,54.95,54.95,7.69,0.00,7.69,47.26,6,1
ee383a9e-773b-fcde-3f09-573f6d5cd4b4,377,91,2023-01-01 08:01:14,3,94.99,284.97,25.65,0.00,25.65,259.32,7,1
854211b7-8b1f-656f-b08a-0571ac27f9ba,764,17,2023-01-01 09:34:55,1,145.00,145.00,2.90,17.40,20.30,124.70,5,1
8d110fad-1620-48fa-a883-ed0395494e0c,719,64,2023-01-01 09:56:45,3,102.00,306.00,12.24,0.00,12.24,293.76,7,2
4d1472ce-fd94-2be7-3da8-536656cbeaf6,954,79,2023-01-01 10:55:56,1,36.00,36.00,1.08,0.36,1.44,34.56,6,1
00295678-f360-d841-0081-e830f5db4c55,642,84,2023-01-01 11:01:04,2,57.95,115.90,11.59,0.00,11.59,104.31,5,3
2a960894-074f-9633-6f76-fd96fb8a8e30,62,93,2023-01-01 14:01:34,1,22.99,22.99,0.46,0.00,0.46,22.53,1,2
82cc21f8-5e46-1c47-7aef-24b94091033c,79,65,2023-01-01 14:18:30,1,11.95,11.95,0.00,0.00,0.00,11.95,4,2
479a5826-c8d9-297f-23a2-c442683bb2b2,390,72,2023-01-01 14:38:24,3,108.99,326.97,0.00,0.00,0.00,326.97,3,2
31208a5c-98c1-7f85-215e-062ce35e00f9,832,77,2023-01-01 19:19:41,2,9.00,18.00,0.00,0.36,0.36,17.64,5,3
b9a93ff1-f33f-8cd7-ebe2-cf9cdd10b976,565,55,2023-01-01 21:07:46,2,12.99,25.98,0.00,0.26,0.26,25.72,5,3
408b1a28-6c91-eece-dd6b-2f061949601c,862,40,2023-01-01 22:26:54,3,48.00,144.00,0.00,0.00,0.00,144.00,2,2
16f8ca1f-a32a-b132-db1c-94e056d810ff,571,68,2023-01-02 02:35:01,3,22.99,68.97,0.00,6.90,6.90,62.07,2,3
57f371d1-3d01-fec6-24b1-e14315e17280,347,19,2023-01-02 04:03:12,3,16.00,48.00,1.44,0.00,1.44,46.56,7,1
24e2d7cb-a05a-6b3d-540a-c12e6219eab6,478,37,2023-01-02 06:15:00,3,150.00,450.00,0.00,49.50,49.50,400.50,6,3
0d993650-6f79-b0c2-41d5-8a7ccc27568c,641,34,2023-01-02 07:25:10,2,54.95,109.90,0.00,4.40,4.40,105.50,3,3
1c12e80b-9ead-b426-81ba-f5bb39c45267,494,18,2023-01-02 16:06:54,3,135.00,405.00,0.00,28.35,28.35,376.65,4,3
03976e51-c009-b157-8c96-33320c8eec46,718,87,2023-01-02 17:37:08,3,32.99,98.97,4.95,0.00,4.95,94.02,2,3
d64bbc2d-a8e1-143f-2362-0a3b118cd3c5,980,44,2023-01-02 20:24:29,3,86.95,260.85,0.00,7.83,7.83,253.02,6,1
443b6bd3-ddad-556d-5031-65c7d6978bfa,223,11,2023-01-02 22:16:39,1,55.99,55.99,0.00,0.00,0.00,55.99,5,2
ba2ae8fe-b303-675b-1190-f1d0ffee4dc2,21,6,2023-01-02 23:41:59,2,115.00,230.00,9.20,29.90,39.10,190.90,1,3
6e002b2c-950f-ef4e-619e-ec9957737f7f,742,1,2023-01-02 23:56:50,2,51.95,103.90,0.00,0.00,0.00,103.90,1,1
f87a6b46-958c-a1c7-2ba4-69d5ddf81a4d,147,19,2023-01-03 02:07:01,3,16.00,48.00,0.00,0.00,0.00,48.00,6,3
def96222-4b2e-d865-8d70-afd245089bc1,336,25,2023-01-03 09:57:38,2,85.95,171.90,13.75,0.00,13.75,158.15,1,2
3d8d9ba5-b37e-4657-6a62-4090b212b569,381,86,2023-01-03 10:32:31,2,79.00,158.00,18.96,20.54,39.50,118.50,5,2
fa9b9f16-0a95-de67-c542-4ff4ec70adb5,91,64,2023-01-03 12:59:25,1,102.00,102.00,0.00,0.00,0.00,102.00,1,2
8cb96c14-80c7-7135-85e3-2a46321e1f97,834,30,2023-01-03 13:17:28,2,11.95,23.90,0.00,1.91,1.91,21.99,4,2
e787f68a-c662-58b4-83aa-e67da8465dd4,847,77,2023-01-03 15:16:09,2,9.00,18.00,0.18,0.00,0.18,17.82,6,2
d3189fc5-1852-e415-d5ae-3e93ae8569e8,631,75,2023-01-03 15:24:43,2,43.95,87.90,0.00,7.91,7.91,79.99,6,2
148712de-0f29-ba09-35e0-35f7c2a82fa2,563,96,2023-01-03 17:20:39,2,143.95,287.90,0.00,0.00,0.00,287.90,4,2
1e6a4a6e-9f37-8901-b744-c978da53287b,973,2,2023-01-03 20:29:40,1,96.99,96.99,0.00,0.00,0.00,96.99,3,3
11820d5f-074b-7af0-762e-e53ed0274029,979,51,2023-01-03 21:33:40,3,77.99,233.97,2.34,0.00,2.34,231.63,1,2
