customer_id,product_id,order_creation_time,sale_quantity,sale_price_per_item,sale_price_before_discount,discount_platform,discount_seller,discount_total,sales_price_after_discount,payment_method_id,order_status
980,34,2023-01-01 01:05:39,1,54.95,54.95,0.0,2.2,2.2,52.75,1,1
79,98,2023-01-01 01:06:17,1,161.95,161.95,0.0,0.0,0.0,161.95,2,1
53,13,2023-01-01 01:35:31,2,86.99,173.98,0.0,0.0,0.0,173.98,4,1
416,14,2023-01-01 03:10:36,2,10.0,20.0,0.8,1.4,2.2,17.8,5,3
204,49,2023-01-01 03:52:15,1,150.95,150.95,0.0,1.51,1.51,149.44,7,1
167,13,2023-01-01 04:35:47,1,86.99,86.99,0.0,0.0,0.0,86.99,2,3
779,27,2023-01-01 04:58:29,1,53.99,53.99,2.7,0.0,2.7,51.29,1,3
496,12,2023-01-01 05:35:32,2,136.95,273.9,0.0,0.0,0.0,273.9,7,1
795,34,2023-01-01 06:46:11,1,54.95,54.95,7.69,0.0,7.69,47.26,6,1
377,91,2023-01-01 08:01:14,3,94.99,284.97,25.65,0.0,25.65,259.32,7,1
764,17,2023-01-01 09:34:55,1,145.0,145.0,2.9,17.4,20.3,124.7,5,1
719,64,2023-01-01 09:56:45,3,102.0,306.0,12.24,0.0,12.24,293.76,7,2
954,79,2023-01-01 10:55:56,1,36.0,36.0,1.08,0.36,1.44,34.56,6,1
642,84,2023-01-01 11:01:04,2,57.95,115.9,11.59,0.0,11.59,104.31,5,3
62,93,2023-01-01 14:01:34,1,22.99,22.99,0.46,0.0,0.46,22.53,1,2
79,65,2023-01-01 14:18:30,1,11.95,11.95,0.0,0.0,0.0,11.95,4,2
390,72,2023-01-01 14:38:24,3,108.99,326.97,0.0,0.0,0.0,326.97,3,2
832,77,2023-01-01 19:19:41,2,9.0,18.0,0.0,0.36,0.36,17.64,5,3
565,55,2023-01-01 21:07:46,2,12.99,25.98,0.0,0.26,0.26,25.72,5,3
862,40,2023-01-01 22:26:54,3,48.0,144.0,0.0,0.0,0.0,144.0,2,2
571,68,2023-01-02 02:35:01,3,22.99,68.97,0.0,6.9,6.9,62.07,2,3
347,19,2023-01-02 04:03:12,3,16.0,48.0,1.44,0.0,1.44,46.56,7,1
478,37,2023-01-02 06:15:00,3,150.0,450.0,0.0,49.5,49.5,400.5,6,3
641,34,2023-01-02 07:25:10,2,54.95,109.9,0.0,4.4,4.4,105.5,3,3
494,18,2023-01-02 16:06:54,3,135.0,405.0,0.0,28.35,28.35,376.65,4,3
718,87,2023-01-02 17:37:08,3,32.99,98.97,4.95,0.0,4.95,94.02,2,3
980,44,2023-01-02 20:24:29,3,86.95,260.85,0.0,7.83,7.83,253.02,6,1
223,11,2023-01-02 22:16:39,1,55.99,55.99,0.0,0.0,0.0,55.99,5,2
21,6,2023-01-02 23:41:59,2,115.0,230.0,9.2,29.9,39.1,190.9,1,3
742,1,2023-01-02 23:56:50,2,51.95,103.9,0.0,0.0,0.0,103.9,1,1
147,19,2023-01-03 02:07:01,3,16.0,48.0,0.0,0.0,0.0,48.0,6,3
336,25,2023-01-03 09:57:38,2,85.95,171.9,13.75,0.0,13.75,158.15,1,2
381,86,2023-01-03 10:32:31,2,79.0,158.0,18.96,20.54,39.5,118.5,5,2
91,64,2023-01-03 12:59:25,1,102.0,102.0,0.0,0.0,0.0,102.0,1,2
834,30,2023-01-03 13:17:28,2,11.95,23.9,0.0,1.91,1.91,21.99,4,2
847,77,2023-01-03 15:16:09,2,9.0,18.0,0.18,0.0,0.18,17.82,6,2
631,75,2023-01-03 15:24:43,2,43.95,87.9,0.0,7.91,7.91,79.99,6,2
563,96,2023-01-03 17:20:39,2,143.95,287.9,0.0,0.0,0.0,287.9,4,2
973,2,2023-01-03 20:29:40,1,96.99,96.99,0.0,0.0,0.0,96.99,3,3
979,51,2023-01-03 21:33:40,3,77.99,233.97,2.34,0.0,2.34,231.63,1,2
49,16,2023-01-03 21:37:29,1,123.0,123.0,0.0,0.0,0.0,123.0,3,2
674,64,2023-01-03 22:13:19,3,102.0,306.0,21.42,30.6,52.02,253.98,2,2
478,67,2023-01-03 23:42:52,3,25.99,77.97,0.0,0.0,0.0,77.97,2,1
174,35,2023-01-04 01:29:02,3,37.95,113.85,0.0,0.0,0.0,113.85,4,2
258,98,2023-01-04 01:51:24,1,161.95,161.95,3.24,3.24,6.48,155.47,6,2
224,61,2023-01-04 02:28:39,2,93.95,187.9,0.0,0.0,0.0,187.9,1,1
989,9,2023-01-04 05:52:56,3,126.0,378.0,0.0,0.0,0.0,378.0,7,1
372,86,2023-01-04 06:04:11,3,79.0,237.0,7.11,0.0,7.11,229.89,7,2
455,72,2023-01-04 06:06:47,2,108.99,217.98,0.0,23.98,23.98,194.0,5,2
964,72,2023-01-04 07:49:08,1,108.99,108.99,0.0,0.0,0.0,108.99,3,1
105,12,2023-01-04 08:11:12,1,136.95,136.95,0.0,0.0,0.0,136.95,6,3
63,27,2023-01-04 08:53:45,3,53.99,161.97,4.86,0.0,4.86,157.11,3,1
669,12,2023-01-04 09:26:46,2,136.95,273.9,0.0,30.13,30.13,243.77,4,3
836,4,2023-01-04 09:27:19,2,65.99,131.98,0.0,0.0,0.0,131.98,4,1
895,63,2023-01-04 10:35:22,2,21.95,43.9,0.0,0.0,0.0,43.9,7,3
872,99,2023-01-04 13:20:42,1,35.95,35.95,0.0,1.8,1.8,34.15,7,1
676,102,2023-01-04 15:11:49,3,0.0,0.0,0.0,0.0,0.0,0.0,1,2
713,16,2023-01-04 17:12:18,3,123.0,369.0,0.0,25.83,25.83,343.17,5,1
238,5,2023-01-04 18:40:45,2,93.99,187.98,0.0,20.68,20.68,167.3,5,1
119,28,2023-01-04 19:37:05,1,108.0,108.0,16.2,8.64,24.84,83.16,1,2
40,13,2023-01-04 20:47:16,2,86.99,173.98,1.74,15.66,17.4,156.58,4,2
778,95,2023-01-04 21:23:05,1,58.95,58.95,0.0,0.0,0.0,58.95,2,2
550,59,2023-01-04 23:08:17,3,24.95,74.85,4.49,10.48,14.97,59.88,5,2
681,18,2023-01-04 23:42:10,2,135.0,270.0,10.8,27.0,37.8,232.2,5,2
460,41,2023-01-05 03:01:55,3,24.99,74.97,5.25,7.5,12.75,62.22,1,3
946,32,2023-01-05 04:26:53,3,60.95,182.85,7.31,0.0,7.31,175.54,4,1
847,70,2023-01-05 06:17:06,1,60.95,60.95,1.83,0.0,1.83,59.12,6,2
669,81,2023-01-05 07:10:50,3,56.99,170.97,0.0,3.42,3.42,167.55,5,1
256,85,2023-01-05 07:33:42,1,76.99,76.99,0.0,0.0,0.0,76.99,4,3
416,101,2023-01-05 11:27:24,2,0.0,0.0,0.0,0.0,0.0,0.0,6,1
942,99,2023-01-05 16:38:50,2,35.95,71.9,7.91,0.0,7.91,63.99,7,2
293,35,2023-01-05 18:07:51,1,37.95,37.95,0.0,0.38,0.38,37.57,4,1
366,34,2023-01-05 18:32:14,2,54.95,109.9,9.89,2.2,12.09,97.81,4,2
971,88,2023-01-05 18:41:06,3,42.95,128.85,1.29,14.17,15.46,113.39,3,2
895,9,2023-01-05 19:17:49,3,126.0,378.0,0.0,0.0,0.0,378.0,3,3
887,89,2023-01-05 19:31:15,3,108.0,324.0,0.0,0.0,0.0,324.0,4,2
164,82,2023-01-05 20:27:22,3,62.99,188.97,0.0,24.57,24.57,164.4,4,3
628,26,2023-01-05 22:07:30,3,96.95,290.85,0.0,0.0,0.0,290.85,3,3
843,45,2023-01-05 23:14:07,1,23.0,23.0,0.0,0.0,0.0,23.0,6,2
318,64,2023-01-06 00:07:46,1,102.0,102.0,11.22,0.0,11.22,90.78,6,1
931,65,2023-01-06 01:23:20,3,11.95,35.85,1.43,0.0,1.43,34.42,4,3
179,67,2023-01-06 01:39:56,2,25.99,51.98,0.52,0.0,0.52,51.46,4,1
460,65,2023-01-06 02:38:03,3,11.95,35.85,0.0,5.38,5.38,30.47,3,2
15,66,2023-01-06 02:45:24,3,23.95,71.85,0.0,7.19,7.19,64.66,2,3
455,64,2023-01-06 04:29:37,1,102.0,102.0,2.04,0.0,2.04,99.96,6,2
931,4,2023-01-06 06:08:52,2,65.99,131.98,10.56,0.0,10.56,121.42,1,2
441,95,2023-01-06 11:14:07,2,58.95,117.9,14.15,0.0,14.15,103.75,7,2
715,27,2023-01-06 12:02:07,3,53.99,161.97,12.96,0.0,12.96,149.01,3,1
420,42,2023-01-06 13:18:58,1,83.0,83.0,4.15,4.15,8.3,74.7,4,3
307,83,2023-01-06 13:25:21,3,11.0,33.0,3.3,2.97,6.27,26.73,2,3
3,13,2023-01-06 17:35:10,2,86.99,173.98,0.0,26.1,26.1,147.88,7,2
841,58,2023-01-06 18:15:50,2,75.99,151.98,0.0,0.0,0.0,151.98,3,2
298,76,2023-01-06 18:42:26,2,101.0,202.0,0.0,8.08,8.08,193.92,2,3
173,102,2023-01-06 21:08:43,1,0.0,0.0,0.0,0.0,0.0,0.0,4,2
354,45,2023-01-06 21:45:46,1,23.0,23.0,0.0,2.3,2.3,20.7,6,2
728,2,2023-01-06 23:44:22,3,96.99,290.97,0.0,0.0,0.0,290.97,7,1
465,96,2023-01-07 00:11:44,1,143.95,143.95,10.08,0.0,10.08,133.87,4,3
817,97,2023-01-07 00:56:45,3,120.0,360.0,0.0,10.8,10.8,349.2,6,2
756,39,2023-01-07 04:09:49,2,60.0,120.0,0.0,0.0,0.0,120.0,3,3
423,75,2023-01-07 06:17:50,3,43.95,131.85,15.82,13.19,29.01,102.84,3,3
839,34,2023-01-07 06:53:09,2,54.95,109.9,8.79,0.0,8.79,101.11,4,1
410,24,2023-01-07 07:12:09,2,156.0,312.0,3.12,18.72,21.84,290.16,4,3
793,15,2023-01-07 07:55:43,2,87.99,175.98,15.84,0.0,15.84,160.14,4,1
382,50,2023-01-07 08:06:19,1,91.95,91.95,0.0,7.36,7.36,84.59,2,1
643,92,2023-01-07 08:15:17,3,77.99,233.97,18.72,11.7,30.42,203.55,1,1
362,77,2023-01-07 08:55:51,2,9.0,18.0,0.18,1.8,1.98,16.02,6,3
368,32,2023-01-07 12:07:35,2,60.95,121.9,0.0,3.66,3.66,118.24,2,2
344,25,2023-01-07 12:28:31,3,85.95,257.85,0.0,0.0,0.0,257.85,6,2
206,32,2023-01-07 20:41:09,1,60.95,60.95,3.66,4.88,8.54,52.41,1,3
583,95,2023-01-07 22:30:15,2,58.95,117.9,0.0,14.15,14.15,103.75,7,1
38,51,2023-01-07 22:40:08,1,77.99,77.99,0.0,10.14,10.14,67.85,4,3
775,95,2023-01-07 23:05:55,1,58.95,58.95,0.0,0.0,0.0,58.95,3,3
952,32,2023-01-07 23:12:51,3,60.95,182.85,0.0,0.0,0.0,182.85,4,1
240,47,2023-01-08 02:18:23,2,105.0,210.0,27.3,14.7,42.0,168.0,6,2
631,43,2023-01-08 11:08:53,1,73.95,73.95,3.7,5.92,9.62,64.33,5,2
2,56,2023-01-08 13:40:22,3,73.95,221.85,0.0,0.0,0.0,221.85,2,3
127,79,2023-01-08 14:42:13,1,36.0,36.0,1.44,1.8,3.24,32.76,3,3
436,95,2023-01-08 16:03:55,1,58.95,58.95,6.48,0.0,6.48,52.47,3,1
846,97,2023-01-08 16:52:25,3,120.0,360.0,7.2,0.0,7.2,352.8,1,2
586,88,2023-01-09 00:30:22,1,42.95,42.95,4.72,2.58,7.3,35.65,1,3
26,43,2023-01-09 00:50:41,3,73.95,221.85,2.22,0.0,2.22,219.63,5,3
679,95,2023-01-09 01:30:50,1,58.95,58.95,8.84,0.0,8.84,50.11,7,3
504,2,2023-01-09 01:55:20,3,96.99,290.97,37.83,5.82,43.65,247.32,6,1
189,15,2023-01-09 05:09:06,3,87.99,263.97,34.32,31.68,66.0,197.97,6,1
487,81,2023-01-09 05:41:00,2,56.99,113.98,10.26,0.0,10.26,103.72,2,2
717,2,2023-01-09 06:55:38,3,96.99,290.97,23.28,26.19,49.47,241.5,6,2
750,32,2023-01-09 07:37:02,3,60.95,182.85,27.43,0.0,27.43,155.42,6,2
46,26,2023-01-09 08:10:20,2,96.95,193.9,3.88,19.39,23.27,170.63,7,1
945,75,2023-01-09 08:54:20,3,43.95,131.85,10.55,7.91,18.46,113.39,5,3
957,70,2023-01-09 09:18:08,3,60.95,182.85,0.0,25.6,25.6,157.25,6,3
673,97,2023-01-09 11:37:30,1,120.0,120.0,1.2,0.0,1.2,118.8,3,1
340,83,2023-01-09 11:41:18,1,11.0,11.0,0.0,0.88,0.88,10.12,5,1
703,89,2023-01-09 15:05:53,3,108.0,324.0,0.0,0.0,0.0,324.0,6,1
919,95,2023-01-09 16:10:33,3,58.95,176.85,1.77,0.0,1.77,175.08,2,3
421,84,2023-01-09 16:35:54,1,57.95,57.95,0.0,5.22,5.22,52.73,1,3
16,99,2023-01-09 19:37:48,2,35.95,71.9,0.0,4.31,4.31,67.59,7,1
186,4,2023-01-09 20:21:46,2,65.99,131.98,10.56,5.28,15.84,116.14,6,1
575,3,2023-01-09 22:36:03,1,60.0,60.0,0.0,0.0,0.0,60.0,4,2
462,96,2023-01-10 02:09:24,3,143.95,431.85,25.91,0.0,25.91,405.94,2,1
851,4,2023-01-10 07:35:04,3,65.99,197.97,15.84,0.0,15.84,182.13,4,2
945,20,2023-01-10 10:38:11,2,64.99,129.98,0.0,0.0,0.0,129.98,1,3
123,21,2023-01-10 11:31:44,3,133.95,401.85,4.02,0.0,4.02,397.83,4,2
681,12,2023-01-10 13:04:30,3,136.95,410.85,0.0,49.3,49.3,361.55,7,1
732,72,2023-01-10 16:35:03,1,108.99,108.99,15.26,0.0,15.26,93.73,6,2
986,47,2023-01-10 20:22:28,2,105.0,210.0,0.0,0.0,0.0,210.0,2,2
584,3,2023-01-10 21:12:52,1,60.0,60.0,1.8,0.0,1.8,58.2,1,3
266,1,2023-01-10 21:15:26,1,51.95,51.95,0.0,0.0,0.0,51.95,7,3
868,31,2023-01-10 21:24:29,3,14.99,44.97,0.0,0.0,0.0,44.97,3,1
68,41,2023-01-10 23:40:39,1,24.99,24.99,0.0,0.0,0.0,24.99,7,3
744,28,2023-01-11 01:11:12,1,108.0,108.0,7.56,0.0,7.56,100.44,2,1
294,105,2023-01-11 01:13:05,3,0.0,0.0,0.0,0.0,0.0,0.0,3,3
804,74,2023-01-11 02:47:18,1,127.99,127.99,0.0,5.12,5.12,122.87,7,2
927,54,2023-01-11 05:13:26,1,109.0,109.0,4.36,0.0,4.36,104.64,3,3
713,87,2023-01-11 05:19:40,1,32.99,32.99,0.0,0.0,0.0,32.99,7,2
258,102,2023-01-11 09:31:55,1,0.0,0.0,0.0,0.0,0.0,0.0,3,2
13,13,2023-01-11 09:52:17,3,86.99,260.97,0.0,7.83,7.83,253.14,1,2
472,48,2023-01-11 14:03:07,1,64.99,64.99,5.85,0.0,5.85,59.14,4,1
121,100,2023-01-11 14:53:56,3,65.95,197.85,0.0,0.0,0.0,197.85,4,1
751,33,2023-01-11 15:04:21,3,110.95,332.85,0.0,3.33,3.33,329.52,7,1
640,104,2023-01-11 17:36:26,3,0.0,0.0,0.0,0.0,0.0,0.0,3,1
992,105,2023-01-11 20:26:59,1,0.0,0.0,0.0,0.0,0.0,0.0,4,1
624,70,2023-01-11 21:56:36,1,60.95,60.95,0.0,6.1,6.1,54.85,4,1
198,41,2023-01-12 00:11:32,1,24.99,24.99,0.0,0.0,0.0,24.99,7,3
251,66,2023-01-12 00:22:46,1,23.95,23.95,0.0,0.0,0.0,23.95,6,1
772,88,2023-01-12 01:40:07,1,42.95,42.95,2.58,0.0,2.58,40.37,1,1
960,79,2023-01-12 03:43:43,2,36.0,72.0,0.0,5.76,5.76,66.24,3,3
32,81,2023-01-12 06:15:21,1,56.99,56.99,2.85,0.0,2.85,54.14,7,1
804,74,2023-01-12 06:29:32,2,127.99,255.98,15.36,23.04,38.4,217.58,7,2
369,2,2023-01-12 08:02:24,3,96.99,290.97,0.0,0.0,0.0,290.97,7,3
669,15,2023-01-12 10:23:35,1,87.99,87.99,3.52,0.0,3.52,84.47,1,3
294,3,2023-01-12 11:35:32,2,60.0,120.0,1.2,6.0,7.2,112.8,2,2
158,22,2023-01-12 17:06:28,3,51.99,155.97,15.6,0.0,15.6,140.37,4,1
656,52,2023-01-12 18:14:22,2,85.0,170.0,0.0,0.0,0.0,170.0,4,1
793,6,2023-01-12 21:59:57,2,115.0,230.0,0.0,4.6,4.6,225.4,1,1
510,19,2023-01-12 22:39:50,3,16.0,48.0,2.88,0.0,2.88,45.12,4,1
179,24,2023-01-12 23:14:34,1,156.0,156.0,0.0,0.0,0.0,156.0,5,1
263,3,2023-01-13 03:17:01,2,60.0,120.0,0.0,7.2,7.2,112.8,5,1
982,30,2023-01-13 04:14:07,1,11.95,11.95,0.12,0.0,0.12,11.83,4,3
85,57,2023-01-13 08:45:46,2,84.99,169.98,18.7,15.3,34.0,135.98,1,3
579,19,2023-01-13 09:30:03,1,16.0,16.0,2.4,0.8,3.2,12.8,1,1
865,81,2023-01-13 09:35:35,1,56.99,56.99,6.84,6.27,13.11,43.88,7,2
122,21,2023-01-13 10:32:38,2,133.95,267.9,0.0,0.0,0.0,267.9,6,1
292,32,2023-01-13 10:40:08,3,60.95,182.85,14.63,25.6,40.23,142.62,3,2
87,83,2023-01-13 11:27:50,2,11.0,22.0,0.0,0.0,0.0,22.0,6,2
22,100,2023-01-13 13:20:31,2,65.95,131.9,0.0,0.0,0.0,131.9,7,2
45,63,2023-01-13 15:47:52,2,21.95,43.9,6.59,0.0,6.59,37.31,6,3
832,86,2023-01-13 17:47:14,1,79.0,79.0,0.0,0.0,0.0,79.0,4,2
817,41,2023-01-13 22:03:16,1,24.99,24.99,0.0,2.25,2.25,22.74,5,1
793,54,2023-01-13 22:11:51,2,109.0,218.0,0.0,0.0,0.0,218.0,1,3
254,97,2023-01-13 23:29:27,1,120.0,120.0,0.0,0.0,0.0,120.0,7,3
472,88,2023-01-14 03:14:13,2,42.95,85.9,0.0,12.03,12.03,73.87,4,3
885,96,2023-01-14 07:34:00,2,143.95,287.9,8.64,0.0,8.64,279.26,5,2
498,103,2023-01-14 08:13:00,2,0.0,0.0,0.0,0.0,0.0,0.0,5,1
805,49,2023-01-14 09:01:14,1,150.95,150.95,1.51,0.0,1.51,149.44,3,2
125,40,2023-01-14 09:10:03,1,48.0,48.0,0.0,2.4,2.4,45.6,6,1
793,36,2023-01-14 09:28:42,3,131.95,395.85,7.92,0.0,7.92,387.93,7,2
497,105,2023-01-14 11:50:33,3,0.0,0.0,0.0,0.0,0.0,0.0,1,3
840,99,2023-01-14 12:49:56,3,35.95,107.85,0.0,7.55,7.55,100.3,2,3
721,95,2023-01-14 13:08:37,1,58.95,58.95,0.0,7.66,7.66,51.29,1,3
697,41,2023-01-14 15:49:16,3,24.99,74.97,6.0,1.5,7.5,67.47,3,3
573,61,2023-01-14 16:20:04,1,93.95,93.95,0.0,0.94,0.94,93.01,5,2
571,95,2023-01-14 17:46:45,1,58.95,58.95,0.0,0.0,0.0,58.95,5,1
807,38,2023-01-14 19:24:03,3,23.99,71.97,5.04,0.0,5.04,66.93,6,3
254,12,2023-01-14 20:28:01,1,136.95,136.95,0.0,12.33,12.33,124.62,3,1
829,73,2023-01-14 21:48:46,1,112.0,112.0,0.0,0.0,0.0,112.0,6,3
911,75,2023-01-14 22:17:44,2,43.95,87.9,0.0,0.0,0.0,87.9,7,3
98,45,2023-01-14 23:05:10,1,23.0,23.0,0.0,0.0,0.0,23.0,6,3
892,14,2023-01-14 23:55:35,3,10.0,30.0,2.1,3.9,6.0,24.0,3,2
407,73,2023-01-15 01:59:27,2,112.0,224.0,0.0,2.24,2.24,221.76,2,1
65,7,2023-01-15 02:36:23,1,55.99,55.99,0.0,0.0,0.0,55.99,4,3
